PassengerId,Survived
1,0
7,0
8,1
9,1
14,0
16,1
20,0
23,0
29,0
37,0
42,1
43,0
46,1
48,0
50,0
51,1
52,1
53,0
55,0
57,0
60,0
66,0
68,0
69,0
72,0
74,1
79,1
81,0
83,0
92,0
96,0
104,1
108,1
111,0
121,1
132,0
133,1
139,1
141,1
143,0
146,1
149,1
153,0
156,0
158,1
159,1
162,1
164,0
166,0
167,1
170,0
173,0
180,1
184,1
187,0
188,0
189,1
191,0
194,1
196,0
201,0
206,0
207,1
211,1
213,0
217,0
218,0
219,0
221,1
222,0
227,0
228,0
232,1
234,1
237,0
239,1
244,1
248,1
254,0
255,0
256,0
259,0
260,0
261,0
262,0
263,1
265,0
267,1
269,0
270,1
271,0
272,0
273,1
275,0
278,1
284,0
290,1
291,0
294,0
297,1
300,0
302,1
309,1
311,0
313,0
314,0
315,0
316,0
318,1
319,0
324,0
327,1
328,0
331,1
337,1
341,0
344,0
349,0
350,0
353,1
355,0
360,0
363,0
364,0
367,1
368,0
379,1
383,1
390,1
391,0
392,0
401,1
404,1
406,1
407,0
416,0
419,1
421,1
422,0
423,0
427,0
428,1
434,1
439,0
440,1
442,0
447,1
449,0
450,1
451,0
459,0
460,0
462,0
465,1
470,1
475,0
481,0
482,1
487,0
489,1
493,1
495,1
500,0
503,1
506,1
507,0
508,1
515,0
516,1
517,0
518,0
520,0
521,0
525,1
537,0
540,1
541,1
542,0
545,1
547,0
548,1
550,0
554,0
556,0
562,0
569,0
570,1
571,0
575,0
579,1
580,0
582,0
586,0
589,1
591,0
592,0
593,1
596,0
599,0
602,1
605,0
608,1
614,1
615,0
623,0
631,1
633,0
634,0
636,0
641,0
642,0
644,0
647,0
648,0
651,1
658,0
659,0
660,0
662,1
664,0
665,0
670,0
674,1
675,0
680,0
686,0
687,1
694,0
695,1
696,1
699,1
701,0
705,0
709,0
717,0
722,0
725,0
728,0
735,0
740,1
744,0
746,1
749,1
760,0
761,1
768,0
769,1
772,0
775,0
776,0
777,0
778,1
784,0
787,0
792,0
794,0
797,0
800,0
801,1
803,1
812,0
813,1
815,0
816,1
823,0
825,0
827,1
832,1
834,0
848,1
849,1
851,0
854,0
855,0
857,1
873,0
874,1
882,0
886,0
889,1
891,0
893,1
897,0
901,1
905,0
908,0
912,0
914,0
917,1
920,0
921,0
926,0
932,0
934,1
936,0
942,0
943,1
945,0
948,1
949,0
953,0
958,0
959,0
960,0
967,0
968,0
969,1
976,0
977,0
978,0
981,0
983,0
984,0
986,0
987,0
988,0
990,0
996,0
999,0
1002,1
1006,0
1009,0
1014,1
1015,0
1021,0
1022,1
1027,1
1034,0
1040,1
1048,0
1049,1
1054,0
1057,0
1058,1
1062,0
1066,0
1068,0
1076,0
1078,0
1085,0
1090,1
1091,0
1096,1
1098,1
1100,0
1102,0
1105,1
1106,0
1111,0
1112,1
1118,1
1123,1
1124,1
1128,0
1130,1
1132,1
1135,0
1136,1
1138,0
1142,0
1144,0
1147,1
1153,1
1155,0
1157,1
1165,0
1166,0
1167,0
1175,0
1177,1
1179,1
1181,0
1182,0
1187,0
1189,0
1192,0
1195,0
1201,1
1203,0
1207,1
1209,0
1210,0
1212,1
1213,1
1216,1
1218,0
1222,0
1223,1
1224,0
1226,1
1229,1
1234,1
1235,0
1240,0
1245,1
1247,0
1248,1
1249,0
1251,0
1256,0
1260,1
1262,0
1270,1
1274,0
1278,0
1279,0
1284,1
1291,1
1292,1
1300,0
1301,0
1302,0
1305,0
1306,0
1307,0
1308,0
1309,0
